Municipality,Year,Average Income,Employed_Ratio,Unemployed_Ratio,Enrolled_Ratio,Outside_Ratio
Gladsaxe,2008,289424.4,0.6094278743999371,0.01537210461425461,0.14970751029616222,0.22549251068964613
Gladsaxe,2009,287651.0,0.5878096796461535,0.0307826042492266,0.15220003579372587,0.22920768031089409
Gladsaxe,2010,307654.7,0.5726564061563062,0.03333000199880072,0.1620777533479912,0.23193583849690186
Gladsaxe,2011,308266.9,0.5641805178299982,0.030800667846196016,0.1673104238829774,0.23770839044082834
Gladsaxe,2012,306461.4,0.5571817980894379,0.03430662311829277,0.1707963949804769,0.23771518381179244
Gladsaxe,2013,313728.8,0.5584418746195983,0.034960438222763235,0.1716859403530128,0.23491174680462568
Gladsaxe,2014,320700.5,0.5606419490501281,0.032097452506404986,0.17269299560110213,0.23456760284236478
Gladsaxe,2015,326612.3,0.568564612900894,0.02643309799763861,0.1712006939591817,0.23380159514228574
Gladsaxe,2016,330865.1,0.5732301519059902,0.024720550300945828,0.16809974204643163,0.23394955574663226
Gladsaxe,2017,336245.5,0.5807529991938926,0.026388164445919675,0.16873725638958698,0.22412157997060078
Gladsaxe,2018,340543.1,0.588643548118746,0.025027927649561476,0.16944358614788582,0.2168849380838067
Gladsaxe,2019,348842.8,0.5958495647573703,0.022555667772808156,0.16556052517674216,0.2160342422930794
Gladsaxe,2020,367581.5,0.5949613802064535,0.031280829663851394,0.17170769267787964,0.20205009745181549
Gladsaxe,2021,376325.5,0.6153378115264797,0.013872663551401869,0.16878407320872274,0.20200545171339565
Gladsaxe,2022,349992.6,0.6223865497639465,0.01522304653627517,0.1648280181134984,0.19756238558627998
Gladsaxe,2023,357703.6,0.6211218312523648,0.018279417328793037,0.1653187665531593,0.19527998486568293
Gladsaxe,2024,364448.7,0.6213165704671325,0.021171686958147362,0.16264342298974133,0.19486831958497886
Glostrup,2008,281813.7,0.622113255298956,0.017953179373615943,0.11981967731730465,0.24011388801012337
Glostrup,2009,282392.2,0.5949697109117399,0.03995092400889502,0.12153975922091864,0.24353960585844645
Glostrup,2010,297649.4,0.5834594430992736,0.04290254237288135,0.12726997578692495,0.2463680387409201
Glostrup,2011,292588.7,0.5769027683487968,0.039677151693444976,0.13585275703401975,0.2475673229237384
Glostrup,2012,288413.7,0.5726616563732421,0.040404792023216014,0.1392960785772751,0.24763747302626685
